Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
117762809,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117764992,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
117765283,02000026,true,Rx,0,8,7E,34,00,FC,4C,01,E0,EF,
117765562,02104136,true,Rx,0,8,BB,00,3F,FF,06,E0,00,00,
117765842,02804026,true,Rx,0,8,B7,E7,78,00,F7,63,3D,FD,
117766123,02C00020,true,Rx,0,8,00,00,00,00,00,02,75,81,
117766413,0300410E,true,Rx,0,8,38,11,38,2A,08,28,6C,01,
117766689,19A00002,true,Rx,0,8,12,C8,2C,39,AB,22,00,F7,
117767207,0340412E,true,Rx,0,8,39,80,00,D0,80,00,00,9F,
117772089,19000026,true,Rx,0,8,00,FF,01,40,38,11,8E,00,
117772386,0100082C,true,Rx,0,8,00,C0,84,E8,66,18,00,00,
117772665,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117776036,00800006,true,Rx,0,8,0A,18,0E,0A,42,18,AE,74,
117776311,0090411E,true,Rx,0,8,42,01,E2,C3,0D,00,00,00,
117776590,0300410E,true,Rx,0,8,B8,11,B8,2A,88,28,FC,01,
117776871,03800006,true,Rx,0,8,18,00,DE,61,0E,22,04,01,
117777151,19E00006,true,Rx,0,8,00,0D,18,C0,83,00,C0,00,
117777441,0340412E,true,Rx,0,8,3A,80,00,C0,80,00,00,9F,
117779107,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
117779397,02000026,true,Rx,0,8,7E,34,00,FC,4C,01,E0,EF,
117779676,02104136,true,Rx,0,8,BB,00,3F,FF,06,E0,00,00,
117779958,02804026,true,Rx,0,8,B7,E7,78,00,F7,63,3D,FD,
117780240,02C00020,true,Rx,0,8,00,00,00,00,00,02,75,81,
117782658,0100082C,true,Rx,0,8,00,C0,84,E8,76,18,00,00,
117782940,0110483C,true,Rx,0,8,08,E7,E2,00,44,66,FC,52,
117786031,0300410E,true,Rx,0,8,B8,11,38,2A,88,27,FC,01,
117786316,1B600002,true,Rx,0,8,00,80,00,0C,02,1C,4C,00,
117787277,0340412E,true,Rx,0,8,3B,80,00,B0,80,00,00,9F,
117787557,19000026,true,Rx,0,8,00,FF,01,40,38,11,86,00,
117792642,0100082C,true,Rx,0,8,00,C0,84,E8,66,18,00,00,
117792919,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117793209,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
117793488,02000026,true,Rx,0,8,7E,34,00,FC,4C,01,E0,EF,
117793779,02104136,true,Rx,0,8,BB,00,3F,FF,06,E0,00,00,
117794051,02804026,true,Rx,0,8,B7,E7,77,FF,F3,63,3D,FD,
117794340,02C00020,true,Rx,0,8,00,00,00,00,00,02,75,81,
117794610,19A00002,true,Rx,0,8,6E,C8,2C,39,AB,22,00,F7,
117796075,00800006,true,Rx,0,8,42,18,0E,0A,42,18,2E,74,
117796354,0090411E,true,Rx,0,8,02,01,62,C3,0D,00,00,00,
117796633,0300410E,true,Rx,0,8,38,11,38,2A,08,27,6C,01,
117796915,03800006,true,Rx,0,8,18,00,DE,61,0E,22,04,01,
117797225,0340412E,true,Rx,0,8,3C,80,00,A0,80,00,00,9F,
117802086,19000026,true,Rx,0,8,00,FF,01,40,38,11,8E,00,
117802506,0100082C,true,Rx,0,8,00,C0,84,E8,66,18,00,00,
117802785,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117806064,0300410E,true,Rx,0,8,B8,10,B8,2A,88,27,FC,01,
117807061,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
117807350,02000026,true,Rx,0,8,7E,34,00,FC,4C,01,E0,EF,
117807630,02104136,true,Rx,0,8,BB,00,3F,FF,06,E0,00,00,
117807911,02804026,true,Rx,0,8,B7,E7,77,FE,F3,63,3D,FD,
117808192,02C00020,true,Rx,0,8,00,00,00,00,00,02,75,81,
117808483,0340412E,true,Rx,0,8,3D,80,00,90,80,00,00,9F,
117812524,0100082C,true,Rx,0,8,00,C0,84,E8,66,18,00,00,
117812800,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117816056,00800006,true,Rx,0,8,8A,17,0E,0A,42,17,AE,74,
117816335,0090411E,true,Rx,0,8,42,01,E2,C7,0D,00,00,00,
117816613,0300410E,true,Rx,0,8,B8,10,38,2B,88,26,FC,01,
117816894,03800006,true,Rx,0,8,18,00,DE,61,0E,22,04,01,
117817277,0340412E,true,Rx,0,8,3E,80,00,80,80,00,00,9F,
117817557,19000026,true,Rx,0,8,00,FF,01,40,38,11,86,00,
117817837,1BA0493C,true,Rx,0,8,07,01,03,00,02,01,01,01,
117821083,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
117821359,02000026,true,Rx,0,8,7E,34,00,FC,4C,01,E0,EF,
117821649,02104136,true,Rx,0,8,BB,00,3F,FF,06,E0,00,00,
117821919,02804026,true,Rx,0,8,B7,E7,77,FE,F3,63,3D,FD,
117822210,02C00020,true,Rx,0,8,00,00,00,00,00,02,75,81,
117822479,19A00002,true,Rx,0,8,12,C8,2C,39,AB,22,00,F7,
117822768,0100082C,true,Rx,0,8,00,C0,84,E8,66,18,00,00,
117823051,0110483C,true,Rx,0,8,08,E7,62,00,44,66,FC,52,
117823328,1A200020,true,Rx,0,8,0F,00,9E,3E,00,6A,02,3E,
117823619,1AE0092C,true,Rx,0,8,C0,00,22,E0,41,A0,00,00,
117823900,1B700030,true,Rx,0,8,6C,91,22,00,22,C0,03,00,
117826119,0300410E,true,Rx,0,8,38,10,38,2B,08,26,6C,01,
117826398,19E00006,true,Rx,0,8,00,0D,18,E0,83,00,C0,00,
