Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
55375610,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
55375898,1B700030,true,Rx,0,8,2C,92,22,00,00,00,03,00,
55385696,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55385974,0110483C,true,Rx,0,8,08,E0,20,08,44,66,FC,54,
55395660,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55395938,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,54,
55405665,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55405943,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55415692,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55415979,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
55425697,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55425973,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55435671,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55435958,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55445697,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55445974,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
55455661,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55455948,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
55465697,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55465974,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
55475703,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55475989,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
55485698,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55485974,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
55495734,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55496010,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,53,
55505666,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55505942,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55515723,0100082C,true,Rx,0,8,00,C0,84,E8,62,40,12,CD,
55515999,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55525676,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55525953,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55535722,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55535999,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55545708,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55545994,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
55555702,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55555979,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55565687,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55565974,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
55575702,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55575978,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,53,
55580660,1BA0493C,true,Rx,0,8,12,00,00,00,00,00,00,00,
55585683,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55585960,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,53,
55586250,1B700030,true,Rx,0,8,25,92,22,00,00,00,03,00,
55595743,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55596019,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,53,
55605686,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55605963,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55615754,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55616030,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55625707,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55625983,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55635700,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55635987,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55645714,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55645990,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
55655707,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55655984,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55665702,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55665979,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
55675697,0100082C,true,Rx,0,8,00,C0,84,E8,66,40,12,DC,
55675973,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
