Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5856116,0100082C,true,Rx,0,8,0F,C0,8E,3F,61,FE,00,63,
5856403,0110483C,true,Rx,0,8,00,C1,00,00,80,66,D8,53,
5856693,1A200020,true,Rx,0,8,2C,00,02,2D,00,00,02,30,
5856973,1AE0092C,true,Rx,0,8,A0,00,22,20,01,A0,00,00,
5857263,1B700030,true,Rx,0,8,2C,8E,24,00,00,00,03,00,
5866061,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5866337,0110483C,true,Rx,0,8,08,E1,20,08,44,66,FC,53,
5876085,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5876363,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,53,
5886048,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5886336,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
5896063,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5896339,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,53,
5906057,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5906344,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5916094,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5916370,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5926077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5926354,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5936060,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5936336,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
5942187,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
5942484,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5942775,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5943075,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
5943366,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
5943667,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
5944090,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5946098,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
5946385,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5946676,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5946955,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5947245,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5947537,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
5948093,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
5956059,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5956336,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5958106,00800006,true,Rx,0,8,C9,E0,0D,E0,41,E0,A6,30,
5958386,0090411E,true,Rx,0,8,C2,00,E0,00,00,00,00,00,
5958666,0300410E,true,Rx,0,8,B7,CA,98,33,87,CA,FC,00,
5958957,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
5966062,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,63,
5966349,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5968109,0300410E,true,Rx,0,8,B7,D4,18,33,87,D5,FC,00,
5968399,19E00006,true,Rx,0,8,00,00,18,E0,66,00,40,00,
5976087,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5976364,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5978117,00800006,true,Rx,0,8,01,E6,0D,E6,41,E6,26,73,
5978406,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
5978696,0300410E,true,Rx,0,8,37,D4,18,33,07,D5,6C,00,
5978987,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
5986048,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5986334,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
5988125,0300410E,true,Rx,0,8,B7,DE,98,33,87,DE,FC,00,
5996059,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
5996335,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
5998136,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6B,
5998426,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
5998706,0300410E,true,Rx,0,8,37,DE,18,33,07,DE,6C,00,
5998996,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6006071,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
6006358,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
6008138,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6016052,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
6016328,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
6018150,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,A6,6E,
6018441,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
6018709,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6019011,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6019300,19E00006,true,Rx,0,8,00,00,18,C0,66,00,40,00,
6026068,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
6026355,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
6028166,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6036058,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,63,
6036335,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
6038177,00800006,true,Rx,0,8,C1,EC,0D,EC,41,EC,26,6E,
6038468,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
6038748,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6039048,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6046062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6046339,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6048213,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6056043,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,65,
6056330,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6058192,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,A6,6E,
6058483,0090411E,true,Rx,0,8,C2,00,E0,00,00,00,00,00,
6058764,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6059053,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
6061139,1BA0493C,true,Rx,0,8,02,01,05,02,03,01,01,02,
6061420,1BE0493C,true,Rx,0,8,02,4A,8C,00,3C,04,19,24,
6066077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6066353,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6066644,1B700030,true,Rx,0,8,2C,8E,24,00,00,C0,03,00,
6068209,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6068490,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
6076087,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6076375,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6078216,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6E,
6078506,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6078787,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6079087,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6086089,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6086367,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6088228,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6088519,1B600002,true,Rx,0,8,00,80,00,40,00,1B,4C,00,
6096083,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6096371,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6098233,00800006,true,Rx,0,8,81,EC,0D,EC,41,EC,26,6E,
6098524,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
6098804,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6099104,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6106056,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6106334,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6108247,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6116058,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6116335,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6118258,00800006,true,Rx,0,8,C9,EC,0D,EC,41,EC,A6,6E,
6118539,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
6118819,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6119119,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6119401,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
6126084,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6126363,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6128328,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6136044,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6136322,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6138275,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,26,6E,
6138566,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6138846,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6139146,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6146057,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,65,
6146344,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6148288,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6156058,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6156347,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6158300,00800006,true,Rx,0,8,41,EC,0D,EC,41,EC,A6,6E,
6158592,0090411E,true,Rx,0,8,C2,00,60,00,00,00,00,00,
6158872,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6159161,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
6166062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6166339,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6168303,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6168585,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
6171139,1A200020,true,Rx,0,8,4E,00,02,2D,00,00,02,30,
6176083,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6176371,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6178317,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,26,6E,
6178598,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6178877,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6179177,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6186077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6186354,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6188330,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6196077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6196355,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6198340,00800006,true,Rx,0,8,C9,EC,0D,EC,41,EC,26,6E,
6198621,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6198900,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6199200,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6206079,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6206357,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6208404,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6216070,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6216347,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6218364,00800006,true,Rx,0,8,01,EC,0D,EC,41,EC,A6,6E,
6218654,0090411E,true,Rx,0,8,42,00,60,00,00,00,00,00,
6218923,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6219224,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6219515,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
6226077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6226355,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6228361,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6236056,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,65,
6236334,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6238371,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6E,
6238662,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6238941,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6239242,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6246068,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6246347,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6248384,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6256049,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6256337,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6258396,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,A6,6E,
6258686,0090411E,true,Rx,0,8,C2,00,E0,00,00,00,00,00,
6258955,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6259256,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
6259548,1B600002,true,Rx,0,8,00,80,00,40,00,1B,4C,00,
6266058,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6266344,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6268403,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6268693,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
6276136,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6276412,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6276702,1AE0092C,true,Rx,0,8,C0,00,22,E0,41,A0,00,00,
6276982,1B700030,true,Rx,0,8,2C,8E,24,00,00,C0,03,00,
6278428,00800006,true,Rx,0,8,C1,EC,0D,EC,41,EC,26,6E,
6278717,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
6278997,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6279298,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6286053,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6286329,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6288480,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6296063,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6296340,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6298440,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,26,6E,
6298729,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6298998,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6299299,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6306055,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6306332,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6308442,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6311087,1BA0493C,true,Rx,0,8,03,03,02,01,02,02,01,02,
6316062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6316339,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6318459,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,A6,6E,
6318739,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
6319018,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6319320,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6319610,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
6326079,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,65,
6326355,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6328466,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6336059,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6336347,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6338477,00800006,true,Rx,0,8,81,EC,0D,EC,41,EC,26,6E,
6338767,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
6339037,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6339338,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6346074,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6346350,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6348482,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6356055,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6356332,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6358493,00800006,true,Rx,0,8,C9,EC,0D,EC,41,EC,A6,6E,
6358783,0090411E,true,Rx,0,8,C2,00,E0,00,00,00,00,00,
6359053,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6359354,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
6366089,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6366365,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6368558,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6368847,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
6376093,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6376369,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6378521,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,26,6E,
6378801,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6379081,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
6379383,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6386065,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6386342,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6388524,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6396077,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6396354,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6398538,00800006,true,Rx,0,8,41,EC,0D,EC,41,EC,26,6E,
6398826,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
6399107,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6399408,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6406080,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6406367,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6408539,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6416070,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6416347,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6418549,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,A6,6E,
6418839,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
6419120,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6419410,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6419701,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
6426088,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6426364,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6428568,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6428858,1B600002,true,Rx,0,8,00,80,00,40,00,1B,4C,00,
6436062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6436338,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6438573,00800006,true,Rx,0,8,C9,EC,0D,EC,41,EC,26,6E,
6438864,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6439133,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6439434,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6446067,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6446354,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6448640,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6456193,0100082C,true,Rx,0,8,0F,C0,8E,3F,75,FE,00,65,
6456470,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6458601,00800006,true,Rx,0,8,01,EC,0D,EC,41,EC,A6,6E,
6458892,0090411E,true,Rx,0,8,C2,00,60,00,00,00,00,00,
6459171,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6459462,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
6466072,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6466348,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6468604,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6468884,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
6476109,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6476385,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6478619,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6E,
6478900,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6479179,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6479480,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6486090,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6486367,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6486647,1A200020,true,Rx,0,8,8E,00,02,2D,00,00,02,30,
6486937,1B700030,true,Rx,0,8,3C,8E,24,00,00,C0,03,00,
6488630,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6496079,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6496356,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6498630,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,26,6E,
6498921,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
6499200,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6499491,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6506062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6506338,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6508644,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
6516083,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6516360,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6518655,00800006,true,Rx,0,8,C1,EC,0D,EC,41,EC,A6,6E,
6518946,0090411E,true,Rx,0,8,42,00,60,00,00,00,00,00,
6519226,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
6519517,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
6519807,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
6526090,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6526368,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
6528726,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
6536062,0100082C,true,Rx,0,8,0F,C0,8E,3F,65,FE,00,65,
6536338,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
6538676,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,26,6E,
