Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9327763,0100082C,true,Rx,0,8,0F,C0,91,15,61,FC,00,BC,
9328049,0110483C,true,Rx,0,8,00,C0,00,00,80,66,D8,53,
9328330,1A200020,true,Rx,0,8,EC,00,02,2D,00,00,02,2F,
9328621,1AE0092C,true,Rx,0,8,60,00,22,20,01,A0,00,00,
9328900,1B700030,true,Rx,0,8,25,8E,22,00,00,00,03,00,
9337708,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9337983,0110483C,true,Rx,0,8,08,E0,A0,08,44,66,FC,53,
9347724,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9347999,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
9357708,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9357983,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
9367712,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9367998,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
9377707,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9377993,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
9387731,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9388006,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
9397726,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9398001,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
9407710,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,BC,
9407985,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
9413755,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
9414041,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9414342,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9414633,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
9414933,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
9415223,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
9415658,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9417666,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
