Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
36975318,1AE0092C,true,Rx,0,8,A0,00,22,20,01,A0,00,00,
36975604,1B700030,true,Rx,0,8,2C,91,22,00,00,00,03,00,
36985406,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
36985682,0110483C,true,Rx,0,8,08,E0,20,08,44,66,FC,55,
36995370,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
36995656,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
37000359,1BA0493C,true,Rx,0,8,05,03,01,01,01,02,01,03,
37000644,1BE0493C,true,Rx,0,8,01,00,2A,88,96,89,FD,FB,
37005377,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37005665,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,54,
37015373,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37015659,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,54,
37025389,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37025665,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37035383,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37035660,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37045376,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37045653,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37055390,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37055667,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37061530,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
37061817,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37062118,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37062407,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37062708,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37062999,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
37063382,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37065379,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37065676,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37065967,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37066247,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
37066537,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37066837,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37067396,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37069394,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37069679,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37069970,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37070271,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37071396,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37071689,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37073391,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37073689,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37073981,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37074281,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37075395,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37075698,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37075958,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37077402,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
37077692,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37077986,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37078276,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37079401,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37081402,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37081692,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37081992,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37082281,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37082582,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37083408,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37085401,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37085691,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37085980,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37086261,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37086561,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37086850,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37087420,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37089406,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37089706,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37089995,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37090296,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37091410,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37091701,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37093416,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
37093705,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37094006,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37094295,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37095421,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37095711,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37095984,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37096285,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
37097430,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37097720,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37098015,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37098304,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37099419,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37101421,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37101711,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37102011,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37102310,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37102601,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37103427,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37105432,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37105722,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37106011,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37106291,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37106580,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37106882,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37107439,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37109436,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
37109725,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37110024,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37110315,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37111429,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37111730,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37113435,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37113724,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37114024,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37114314,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37115440,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37115729,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37116010,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
37117438,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37117728,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37118030,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37118319,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37119434,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37121443,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37121734,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37122035,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37122327,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37122626,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37123442,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37125444,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
37125734,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37126025,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37126306,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37126596,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37126897,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37127455,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37129458,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37129748,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37130040,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37130340,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37130630,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
37131457,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37131748,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37133452,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37133742,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37134044,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37134334,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37135459,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37135738,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37136020,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37137466,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37137757,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37138058,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37138348,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37139463,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37141462,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
37141752,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37142053,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37142344,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37142644,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
37143470,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37145472,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
37145761,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37146052,0100082C,true,Rx,0,8,0F,C0,BE,FD,62,08,1A,1E,
37146333,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
37146623,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37146925,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
37147482,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37149475,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
37149764,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37150057,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
37150357,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
