Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10204593,0100082C,true,Rx,0,8,0F,C0,8F,D8,62,1B,00,79,
10204878,0110483C,true,Rx,0,8,00,C1,00,00,80,66,D8,53,
10205159,1A200020,true,Rx,0,8,2C,00,02,2D,00,00,02,2E,
10205450,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
10205729,1B700030,true,Rx,0,8,2C,8E,22,00,00,00,03,00,
10214591,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10214866,0110483C,true,Rx,0,8,08,E1,20,08,44,66,FC,53,
10224555,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10224840,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,53,
10234571,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10234846,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,51,
10244555,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10244830,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
10249604,1BA0493C,true,Rx,0,8,05,03,01,01,01,02,01,03,
10249881,1BE0493C,true,Rx,0,8,01,00,2A,6D,E2,68,FD,FB,
10254554,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10254839,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
10264558,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10264833,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
10274603,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10274888,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
10284606,0100082C,true,Rx,0,8,0F,C0,8F,D8,66,1B,00,79,
10284882,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
10290642,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
