Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4841944,0100082C,true,Rx,0,8,0F,C0,91,15,61,FC,00,83,
4842231,1A200020,true,Rx,0,8,AC,00,02,2D,00,00,02,2F,
4842512,1AE0092C,true,Rx,0,8,A0,00,22,20,01,A0,00,00,
4842801,1B700030,true,Rx,0,8,25,8E,22,00,00,00,03,00,
4851896,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4852171,0110483C,true,Rx,0,8,08,E0,A0,08,44,66,FC,53,
4861889,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4862165,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,53,
4871893,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4872180,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4876933,1BA0493C,true,Rx,0,8,07,01,03,00,02,01,01,01,
4881935,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4882211,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4891918,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4892194,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4901902,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4902179,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
4911887,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4912174,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4921892,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4922179,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4928508,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
4928804,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4929095,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4929396,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4929685,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4929986,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
4930411,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4932067,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4932349,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4932637,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4932938,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4933227,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4933529,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4934418,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4940361,00800006,true,Rx,0,8,C1,E0,0D,E0,41,E0,06,30,
4940658,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4940937,0300410E,true,Rx,0,8,B7,CA,00,00,87,CA,F0,00,
4941227,03800006,true,Rx,0,8,10,00,00,00,00,00,00,00,
4942012,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4942292,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4950359,0300410E,true,Rx,0,8,37,CA,98,33,07,CA,6C,00,
4950646,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
4951955,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4952236,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
4960373,00800006,true,Rx,0,8,09,E6,0D,E6,41,E6,A6,74,
4960660,0090411E,true,Rx,0,8,C2,00,E0,00,00,00,00,00,
4960939,0300410E,true,Rx,0,8,B7,D4,18,33,87,D5,FC,00,
4961239,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
4962014,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4962295,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4970383,0300410E,true,Rx,0,8,37,D4,18,33,07,D5,6C,00,
4971895,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4972176,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4980384,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6B,
4980681,0090411E,true,Rx,0,8,02,00,E0,00,00,00,00,00,
4980950,0300410E,true,Rx,0,8,B7,DE,98,33,87,DE,FC,00,
4981251,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
4982005,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4982284,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
4990404,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
4991915,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
4992196,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
5000412,00800006,true,Rx,0,8,89,EC,0D,EC,41,EC,A6,6B,
5000699,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
5000978,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
5001279,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
5001560,19E00006,true,Rx,0,8,00,00,18,C0,67,00,40,00,
5002025,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5002304,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,52,
5010415,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
5011897,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5012177,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
5020436,00800006,true,Rx,0,8,C1,EC,0D,EC,41,EC,26,6E,
5020732,0090411E,true,Rx,0,8,02,00,60,00,00,00,00,00,
5021001,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
5021302,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
5021964,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5022244,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,52,
5030446,0300410E,true,Rx,0,8,37,DE,98,F1,07,DE,6C,00,
5031895,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5032176,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
5040454,00800006,true,Rx,0,8,09,EC,0D,EC,41,EC,A6,6E,
5040740,0090411E,true,Rx,0,8,42,00,E0,00,00,00,00,00,
5041009,0300410E,true,Rx,0,8,B7,DE,18,F1,87,DE,FC,00,
5041310,03800006,true,Rx,0,8,30,00,00,00,00,00,00,00,
5042023,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5042303,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,52,
5050464,0300410E,true,Rx,0,8,37,DE,18,F1,07,DE,6C,00,
5050749,19E00006,true,Rx,0,8,00,00,18,E0,67,00,40,00,
5051957,0100082C,true,Rx,0,8,0F,C0,91,15,65,FC,00,83,
5052236,0110483C,true,Rx,0,8,08,E2,A0,00,44,66,FC,52,
5052517,1B700030,true,Rx,0,8,25,8E,22,00,00,00,03,00,
5060472,00800006,true,Rx,0,8,49,EC,0D,EC,41,EC,26,6E,
5060758,0090411E,true,Rx,0,8,82,00,E0,00,00,00,00,00,
5061037,0300410E,true,Rx,0,8,B7,DE,98,F1,87,DE,FC,00,
5061330,03800006,true,Rx,0,8,70,00,00,00,00,00,00,00,
