Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
119783103,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119783389,0110483C,true,Rx,0,8,00,C0,00,00,80,66,D8,54,
119783679,1A200020,true,Rx,0,8,2C,00,02,33,00,00,02,31,
119783959,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
119784240,1B700030,true,Rx,0,8,2C,8F,22,00,00,00,03,00,
119793202,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119793477,0110483C,true,Rx,0,8,08,E0,20,08,44,66,FC,54,
119803163,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119803450,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,54,
119813169,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119813455,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119823174,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119823460,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119833190,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119833465,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119843175,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119843461,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119853200,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119853486,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,54,
119863175,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119863460,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,54,
119873170,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119873455,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119883216,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119883501,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119888162,1BA0493C,true,Rx,0,8,13,00,00,00,00,00,00,00,
119893174,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119893450,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119903242,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119903527,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,55,
119913195,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119913471,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119923201,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119923486,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119933185,0100082C,true,Rx,0,8,00,C0,80,62,62,04,00,95,
119933470,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,54,
119943200,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119943486,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,54,
119953205,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119953491,0110483C,true,Rx,0,8,08,E0,A0,00,44,66,FC,54,
119963200,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119963475,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119973174,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119973450,0110483C,true,Rx,0,8,08,E0,20,00,44,66,FC,55,
119983210,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119983496,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,55,
119993195,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
119993470,0110483C,true,Rx,0,8,08,E2,20,00,44,66,FC,54,
119993761,1B700030,true,Rx,0,8,25,8F,22,00,00,00,03,00,
120003213,0100082C,true,Rx,0,8,00,C0,80,62,66,04,00,D6,
