Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9107013,0100082C,true,Rx,0,8,00,C0,87,DB,61,F2,00,68,
9107298,1A200020,true,Rx,0,8,2C,00,02,3E,00,00,02,3E,
9107589,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
9107868,1B700030,true,Rx,0,8,2C,8F,22,00,00,00,03,00,
9116954,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9117230,0110483C,true,Rx,0,8,08,E1,A0,08,44,66,FC,53,
9126991,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9127266,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,53,
9136964,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9137249,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,51,
9147001,0100082C,true,Rx,0,8,00,C0,87,DB,75,F2,00,68,
9147276,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,53,
9156975,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9157250,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
9166959,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9167245,0110483C,true,Rx,0,8,08,E1,A0,00,44,66,FC,52,
9176985,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9177260,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
9186980,0100082C,true,Rx,0,8,00,C0,87,DB,65,F2,00,68,
9187265,0110483C,true,Rx,0,8,08,E1,20,00,44,66,FC,52,
9193223,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
9193508,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9193809,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9194100,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
9194391,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
9194691,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
9195085,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9197082,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
9197368,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
9197658,0100082C,true,Rx,0,8,00,C0,87,DB,65,F3,00,68,
