Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4418277,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4418563,1A200020,true,Rx,0,8,EC,00,02,2D,00,00,02,2C,
4418854,1AE0092C,true,Rx,0,8,60,00,22,20,01,A0,00,00,
4419135,1B700030,true,Rx,0,8,2C,86,1E,00,00,00,03,00,
4428384,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4428670,0110483C,true,Rx,0,8,08,E4,22,08,44,66,FC,54,
4438348,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4438623,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4448353,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4448628,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4458348,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4458623,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4463345,1BA0493C,true,Rx,0,8,07,01,03,00,02,01,01,01,
4468400,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4468675,0110483C,true,Rx,0,8,08,E4,A2,00,44,66,FC,54,
4478353,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4478628,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4488379,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4488664,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4498343,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4498628,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,55,
4508348,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4508623,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4518364,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4518639,0110483C,true,Rx,0,8,08,E6,AA,00,44,66,FC,52,
4528338,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4528623,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4538384,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4538669,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4545799,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
4546085,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4546385,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4546676,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4546967,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4547269,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
4547693,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4548556,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4548827,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4549725,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4550015,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4550306,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4550606,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4551658,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4553652,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
4553949,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4554240,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4554540,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4555655,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4555948,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4557659,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4557960,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4558249,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4558528,0100082C,true,Rx,0,8,00,C0,AF,5E,62,09,00,96,
4558810,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4559110,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4559678,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4559976,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
4560256,02000026,true,Rx,0,8,7F,34,00,CC,4C,00,E0,AC,
