Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4296411858,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296412145,0110483C,true,Rx,0,8,00,C4,00,00,80,66,D8,55,
4296412425,1A200020,true,Rx,0,8,EC,00,02,2F,00,00,02,2E,
4296412716,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
4296413006,1B700030,true,Rx,0,8,2C,88,1E,00,00,00,03,00,
4296421956,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296422223,0110483C,true,Rx,0,8,08,E4,20,08,44,66,FC,55,
4296431929,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296432206,0110483C,true,Rx,0,8,08,E4,20,00,44,66,FC,55,
4296441924,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296442200,0110483C,true,Rx,0,8,08,E4,20,00,44,66,FC,55,
4296451928,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296452205,0110483C,true,Rx,0,8,08,E4,A0,00,44,66,FC,55,
4296461954,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296462241,0110483C,true,Rx,0,8,08,E4,20,00,44,66,FC,55,
4296471918,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296472205,0110483C,true,Rx,0,8,08,E4,20,00,44,66,FC,55,
4296481964,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296482241,0110483C,true,Rx,0,8,08,E4,20,00,44,66,FC,55,
4296491918,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296492205,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4296501976,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296502252,0110483C,true,Rx,0,8,08,E6,AA,00,44,66,FC,52,
4296511939,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296512215,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4296521964,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296522241,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4296530591,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
4296530888,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4296531179,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4296531479,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4296531770,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4296532071,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
4296532351,0100082C,true,Rx,0,8,00,C0,B2,CE,61,F2,00,95,
4296532631,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4296532929,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
