Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4298027396,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298027682,1A200020,true,Rx,0,8,EC,00,02,2E,00,00,02,2D,
4298027972,1AE0092C,true,Rx,0,8,20,00,22,20,01,A0,00,00,
4298028253,1B700030,true,Rx,0,8,2C,88,1E,00,00,00,03,00,
4298037500,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298037777,0110483C,true,Rx,0,8,08,E4,22,08,44,66,FC,54,
4298047464,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298047751,0110483C,true,Rx,0,8,08,E4,A2,00,44,66,FC,54,
4298057478,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298057754,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4298067473,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298067749,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4298077477,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298077764,0110483C,true,Rx,0,8,08,E4,22,00,44,66,FC,54,
4298087472,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298087749,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,53,
4298097499,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298097775,0110483C,true,Rx,0,8,08,E6,AA,00,44,66,FC,52,
4298107464,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298107740,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4298117468,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298117754,0110483C,true,Rx,0,8,08,E6,2A,00,44,66,FC,52,
4298127484,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298127759,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298130611,00800006,true,Rx,0,8,60,00,00,00,00,00,00,00,
4298130901,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298131202,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298131493,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298131785,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298132087,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298132510,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298134522,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4298134811,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298135112,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298135403,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298136479,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298137693,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298137972,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298138490,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
4298138780,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298139072,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298139372,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298140482,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298140773,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298142483,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298142773,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298143065,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298143365,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298144452,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
4298144741,02000026,true,Rx,0,8,7F,34,00,CC,4C,00,E0,AC,
4298145022,02104136,true,Rx,0,8,BB,00,3F,FF,07,E0,00,00,
4298145303,02804026,true,Rx,0,8,B7,FF,77,FF,F2,00,1E,0A,
4298145603,02C00020,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298145897,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298146188,19A00002,true,Rx,0,8,12,00,00,00,00,00,00,07,
4298146488,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
4298146779,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298147070,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298147370,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298147801,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298148081,0110483C,true,Rx,0,8,08,E9,AA,00,44,66,FC,52,
4298148505,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298150495,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4298150786,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298151077,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298151378,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298151667,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298152488,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298154496,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
4298154785,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298155076,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298155377,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298156494,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298157598,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298157876,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298158507,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298158807,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298159099,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
4298159378,02000026,true,Rx,0,8,7F,34,00,CC,4C,00,E0,AC,
4298159668,02104136,true,Rx,0,8,BB,00,3F,FF,07,E0,00,00,
4298159945,02804026,true,Rx,0,8,B7,FF,77,FF,F2,00,1E,0A,
4298160235,02C00020,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298160536,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298160826,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298161127,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298162493,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
4298162783,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298163086,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298163375,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298164493,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298164793,1B600002,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298166503,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4298166794,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298167085,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298167385,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298167665,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298167949,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298168518,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298170509,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
4298170798,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298171089,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298171390,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298171680,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298172470,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
4298172760,02000026,true,Rx,0,8,7F,34,00,CC,4C,00,E0,AC,
4298173041,02104136,true,Rx,0,8,BB,00,3F,FF,07,E0,00,00,
4298173321,02804026,true,Rx,0,8,B7,FF,77,FF,F2,00,1E,0A,
4298173622,02C00020,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298173911,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298174199,19A00002,true,Rx,0,8,6E,00,00,00,00,00,00,F7,
4298174520,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298174810,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298175102,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298175402,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298176510,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298177790,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298178068,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298178534,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
4298178823,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298179125,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298179415,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298180514,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298180804,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298182515,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4298182806,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298183107,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298183397,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298184514,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298186459,01C04026,true,Rx,0,8,80,00,80,00,80,00,80,00,
4298186750,00800006,true,Rx,0,8,C0,00,00,00,00,00,00,00,
4298187041,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298187330,02000026,true,Rx,0,8,7F,34,00,CC,4C,00,E0,AC,
4298187611,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298187890,0110483C,true,Rx,0,8,08,E9,2A,00,44,66,FC,52,
4298188178,02104136,true,Rx,0,8,BB,00,3F,FF,07,E0,00,00,
4298188468,02804026,true,Rx,0,8,B7,FF,77,FF,F2,00,1E,0C,
4298188757,02C00020,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298189049,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298189349,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298190521,00800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298190821,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298191112,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298191403,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298191702,19E00006,true,Rx,0,8,00,00,00,C0,00,00,00,00,
4298192523,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298194530,00800006,true,Rx,0,8,40,00,00,00,00,00,00,00,
4298194820,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298195112,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298195412,03800006,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298196528,0300410E,true,Rx,0,8,00,00,00,00,00,00,00,00,
4298197623,0100082C,true,Rx,0,8,00,C0,93,5F,61,F0,00,95,
4298197902,0110483C,true,Rx,0,8,08,E9,AA,00,44,66,FC,52,
4298198554,00800006,true,Rx,0,8,80,00,00,00,00,00,00,00,
4298198844,0090411E,true,Rx,0,8,00,00,00,00,00,00,00,00,
